姓名,性别,年龄,政治面貌,体重,籍贯,健康状况,身高,学历,毕业院校,专业,求职意向,手机,邮箱,教育经历,荣誉奖项,技能证书,工作经历,兴趣爱好,自我评价,录入时间
高强,男,41,共青团员,65.0,江苏省南京市,良好,170.0,本科,中山大学,广告学,市场营销总监,18544616912,高强950@hotmail.com,"[{""start_time"":""2001-09"",""end_time"":""2005-06"",""school"":""中山大学"",""degree"":""本科"",""major"":""广告学""}]",中国广告长城奖银奖,高级营销师、PMP项目管理证书,"[{""start_time"":""2005-07"",""end_time"":""2008-12"",""company"":""奥美广告"",""position"":""广告策划专员"",""responsibilities"":""负责品牌广告策划方案撰写，参与客户需求分析，协助完成创意提案""},{""start_time"":""2009-01"",""end_time"":""2012-06"",""company"":""阳狮集团"",""position"":""高级品牌经理"",""responsibilities"":""主导多个国际品牌在华营销策略制定，管理5人团队，年度预算超2000万""},{""start_time"":""2012-07"",""end_time"":""2016-12"",""company"":""宝马中国"",""position"":""市场部经理"",""responsibilities"":""负责区域市场活动策划执行，带领团队完成年度销售目标120%达成率""},{""start_time"":""2017-01"",""end_time"":""2020-08"",""company"":""奔驰中国"",""position"":""数字营销总监"",""responsibilities"":""统筹数字化营销战略，主导CRM系统升级项目，年增客户数据30%""},{""start_time"":""2020-09"",""end_time"":""至今"",""company"":""保时捷中国"",""position"":""市场营销副总裁"",""responsibilities"":""制定全域营销战略，管理80人团队，年度市场预算超5亿元""}]",高尔夫、古典音乐、红酒品鉴,18年国际品牌营销管理经验，擅长战略规划与团队建设，具备跨文化沟通能力和全球化视野,2025-07-03 10:27:44
黄浩明,男,45,共青团员,65.0,江苏省南京市,良好,170.0,本科,昆明理工大学,数据科学与大数据技术,数据科学专家/大数据技术总监,13064429304,huanghaoming179@gmail.com,"[{""start_time"":""1997-09"",""end_time"":""2001-06"",""school"":""昆明理工大学"",""degree"":""本科"",""major"":""数据科学与大数据技术""}]",全国大学生数据建模竞赛一等奖,"PMP项目管理专业人士认证, 大数据分析师高级证书","[{""start_time"":""2001-07"",""end_time"":""2005-12"",""company"":""中国电信"",""position"":""数据分析师"",""responsibilities"":""负责电信用户行为数据分析，构建用户画像模型，优化营销策略""},{""start_time"":""2006-01"",""end_time"":""2012-08"",""company"":""阿里巴巴集团"",""position"":""大数据开发工程师"",""responsibilities"":""参与阿里云大数据平台开发，负责数据仓库建设和ETL流程优化""},{""start_time"":""2012-09"",""end_time"":""2018-05"",""company"":""腾讯科技"",""position"":""大数据部门经理"",""responsibilities"":""领导20人团队，负责社交网络数据分析平台建设，推动数据驱动决策""},{""start_time"":""2018-06"",""end_time"":""至今"",""company"":""中石化"",""position"":""首席数据科学家"",""responsibilities"":""负责集团数字化转型战略，构建石油化工行业大数据分析平台，领导AI创新项目""}]",羽毛球、古典音乐、历史阅读,18年大数据领域经验，精通数据挖掘和机器学习算法，具备丰富的团队管理和战略规划能力，善于将技术创新与业务需求相结合,2025-07-03 10:28:25
王洁,女,46,共青团员,65.0,江苏省南京市,良好,170.0,本科,桂林理工大学,人工智能,人工智能专家/技术总监,13135094235,王洁953@163.com,"[{""start_time"":""1996-09"",""end_time"":""2000-06"",""school"":""桂林理工大学"",""degree"":""本科"",""major"":""人工智能""}]",全国人工智能创新大赛一等奖,高级人工智能工程师、项目管理专业人士资格认证（PMP）,"[{""start_time"":""2000-07"",""end_time"":""2004-08"",""company"":""华为技术有限公司"",""position"":""人工智能工程师"",""responsibilities"":""参与人工智能算法研发，负责机器学习模型的优化与实现。""},{""start_time"":""2004-09"",""end_time"":""2008-12"",""company"":""阿里巴巴集团"",""position"":""高级人工智能工程师"",""responsibilities"":""领导团队开发智能推荐系统，提升用户体验和业务转化率。""},{""start_time"":""2009-01"",""end_time"":""2014-05"",""company"":""腾讯科技"",""position"":""人工智能技术经理"",""responsibilities"":""管理人工智能研发团队，负责自然语言处理项目的规划与实施。""},{""start_time"":""2014-06"",""end_time"":""2020-11"",""company"":""中石油"",""position"":""人工智能技术总监"",""responsibilities"":""主导人工智能技术在能源领域的应用，优化生产流程并提升效率。""},{""start_time"":""2020-12"",""end_time"":""至今"",""company"":""字节跳动"",""position"":""资深人工智能专家"",""responsibilities"":""负责公司人工智能战略的制定与实施，推动技术创新和业务发展。""}]",运动、阅读、音乐,拥有20年以上人工智能领域经验，技术与管理能力兼备，善于团队协作与创新。,2025-07-03 10:34:44
王芳,女,38,共青团员,65.0,江苏省南京市,良好,170.0,本科,广州番禺职业技术学院,市场营销,市场营销总监,13276852180,王芳511@hotmail.com,"[{""start_time"":""2004-09"",""end_time"":""2008-06"",""school"":""广州番禺职业技术学院"",""degree"":""本科"",""major"":""市场营销""}]",校级优秀毕业生、市场营销策划大赛一等奖,高级市场营销师、PMP项目管理证书,"[{""start_time"":""2008-07"",""end_time"":""2012-08"",""company"":""广州某广告有限公司"",""position"":""市场专员"",""responsibilities"":""负责市场调研、客户需求分析、营销方案策划与执行，协助完成年度营销目标。""},{""start_time"":""2012-09"",""end_time"":""2018-05"",""company"":""国家电网"",""position"":""市场营销主管"",""responsibilities"":""负责公司品牌推广、市场活动策划与执行，管理团队完成年度营销计划，提升品牌影响力。""},{""start_time"":""2018-06"",""end_time"":""至今"",""company"":""某国际能源集团"",""position"":""市场营销经理"",""responsibilities"":""制定公司整体市场营销战略，领导团队完成市场拓展与品牌建设，协调跨部门资源，推动业务增长。""}]",运动、阅读、音乐,拥有15年市场营销经验，擅长品牌策划与市场推广，具备优秀的团队管理能力和跨部门协作能力，对市场趋势有敏锐的洞察力。,2025-07-03 10:35:20
王倩秀,女,46,共青团员,65.0,江苏省南京市,良好,170.0,本科,贵州财经大学,国际贸易,国际贸易高级经理,13964221510,王倩秀341@sina.com,"[{""start_time"":""1996-09"",""end_time"":""2000-06"",""school"":""贵州财经大学"",""degree"":""本科"",""major"":""国际贸易""}]",国际贸易优秀人才奖,国际贸易师证书,"[{""start_time"":""2000-07"",""end_time"":""2003-08"",""company"":""中国进出口贸易公司"",""position"":""国际贸易专员"",""responsibilities"":""负责国际贸易合同的起草与执行，协调进出口业务""},{""start_time"":""2003-09"",""end_time"":""2007-05"",""company"":""中国进出口贸易公司"",""position"":""国际贸易主管"",""responsibilities"":""管理国际贸易团队，优化业务流程，提升贸易效率""},{""start_time"":""2007-06"",""end_time"":""2012-11"",""company"":""中国进出口贸易公司"",""position"":""国际贸易经理"",""responsibilities"":""制定国际贸易策略，拓展国际市场，管理大客户关系""},{""start_time"":""2012-12"",""end_time"":""2018-04"",""company"":""国家电网"",""position"":""国际贸易高级经理"",""responsibilities"":""负责国家电网国际业务的拓展与管理，协调跨国项目合作""},{""start_time"":""2018-05"",""end_time"":""至今"",""company"":""国家电网"",""position"":""国际贸易总监"",""responsibilities"":""全面负责国家电网国际贸易业务，制定战略规划，领导团队实现业务目标""}]",运动、阅读、音乐,拥有20年以上国际贸易经验，擅长国际业务拓展与管理，具备出色的团队领导能力和战略规划能力,2025-07-03 10:37:11
何建峰,男,44,共青团员,75.0,陕西省西安市,良好,175.0,本科,西北工业大学,数据科学与大数据技术,数据科学专家/技术总监,15230911641,hejianfeng699@qq.com,"[{""start_time"":""1998-09"",""end_time"":""2002-06"",""school"":""西北工业大学"",""degree"":""本科"",""major"":""数据科学与大数据技术""}]",全国大学生数据建模竞赛一等奖,"PMP项目管理专业人士认证, 高级大数据工程师","[{""start_time"":""2002-07"",""end_time"":""2006-08"",""company"":""华为技术有限公司"",""position"":""数据分析师"",""responsibilities"":""负责业务数据分析和报表开发，支持决策制定""},{""start_time"":""2006-09"",""end_time"":""2011-05"",""company"":""腾讯科技"",""position"":""高级数据工程师"",""responsibilities"":""主导大数据平台搭建和优化，提升数据处理效率""},{""start_time"":""2011-06"",""end_time"":""2016-12"",""company"":""百度"",""position"":""数据科学团队负责人"",""responsibilities"":""管理10人数据科学团队，负责算法模型开发和落地""},{""start_time"":""2017-01"",""end_time"":""2020-11"",""company"":""京东集团"",""position"":""大数据技术总监"",""responsibilities"":""负责公司级大数据架构设计和技术路线规划""},{""start_time"":""2020-12"",""end_time"":""至今"",""company"":""阿里巴巴"",""position"":""资深数据科学专家"",""responsibilities"":""领导AI算法团队，推动数据驱动业务创新""}]",登山、围棋、古典音乐,18年大数据领域经验，精通数据分析和AI算法，具备出色的团队管理和技术领导力,2025-07-03 10:43:48
胡婷,女,30,共青团员,65.0,江苏省南京市,良好,170.0,本科,深圳职业技术学院,新闻学,新闻编辑/内容运营,13235037094,胡婷423@163.com,"[{""start_time"":""2012-09"",""end_time"":""2016-06"",""school"":""深圳职业技术学院"",""degree"":""本科"",""major"":""新闻学""}]",校级优秀毕业生、新闻写作大赛一等奖,新闻记者证、新媒体运营师,"[{""start_time"":""2016-07"",""end_time"":""2019-08"",""company"":""深圳日报社"",""position"":""新闻记者"",""responsibilities"":""负责社会新闻采编，独立完成专题报道，累计发表稿件200余篇""},{""start_time"":""2019-09"",""end_time"":""至今"",""company"":""网易"",""position"":""内容运营主管"",""responsibilities"":""负责新闻频道内容策划与运营，带领团队完成多个爆款专题，流量同比增长40%""}]",阅读、写作、旅行,具备扎实的新闻专业基础和丰富的内容运营经验，擅长团队协作与创新策划,2025-07-03 11:48:56
杨雪梅,女,47,共青团员,65.0,江苏省南京市,良好,170.0,本科,广东工业大学,国际贸易,高级管理/国际贸易专家,13836536225,杨雪梅391@gmail.com,"[{""start_time"":""1995-09"",""end_time"":""1999-06"",""school"":""广东工业大学"",""degree"":""本科"",""major"":""国际贸易""}]",优秀管理者奖、国际贸易创新奖,高级国际贸易师、项目管理专业人士资格认证,"[{""start_time"":""1999-07"",""end_time"":""2005-08"",""company"":""广州进出口贸易有限公司"",""position"":""国际贸易专员"",""responsibilities"":""负责国际贸易业务开发、客户维护及合同谈判，参与国际展会拓展市场""},{""start_time"":""2005-09"",""end_time"":""2012-11"",""company"":""华南国际贸易集团"",""position"":""国际贸易部经理"",""responsibilities"":""带领团队完成年度贸易目标，制定部门发展战略，协调跨部门合作""},{""start_time"":""2012-12"",""end_time"":""2018-05"",""company"":""绿叶环保科技有限公司"",""position"":""国际业务总监"",""responsibilities"":""全面负责公司国际业务拓展，建立海外分支机构，主导跨国合作项目""},{""start_time"":""2018-06"",""end_time"":""至今"",""company"":""绿叶环保科技有限公司"",""position"":""副总裁"",""responsibilities"":""分管公司国际业务与战略发展，参与董事会决策，推动企业全球化布局""}]",运动、阅读、音乐,拥有20年以上国际贸易及管理经验，精通国际市场开发与团队建设，具备全球化战略思维和卓越的领导力,2025-07-03 12:33:39
郭飞浩,男,45,共青团员,65.0,江苏省南京市,良好,170.0,本科,西安交通大学,会计学,财务总监,15934425321,郭飞浩157@126.com,"[{""start_time"":""1997-09"",""end_time"":""2001-06"",""school"":""西安交通大学"",""degree"":""本科"",""major"":""会计学""}]",全国会计技能大赛一等奖,"注册会计师(CPA), 高级会计师","[{""start_time"":""2001-07"",""end_time"":""2005-08"",""company"":""华信会计师事务所"",""position"":""审计助理"",""responsibilities"":""协助完成企业年度审计工作，编制审计底稿，参与财务风险评估""},{""start_time"":""2005-09"",""end_time"":""2010-12"",""company"":""中融国际信托有限公司"",""position"":""财务主管"",""responsibilities"":""负责公司财务报表编制与审核，预算管理，税务筹划，带领5人团队完成年度财务工作""},{""start_time"":""2011-01"",""end_time"":""2016-05"",""company"":""蓝天贸易有限公司"",""position"":""财务经理"",""responsibilities"":""全面负责公司财务部门管理，制定财务战略，优化财务流程，主导ERP系统实施，向CFO汇报""},{""start_time"":""2016-06"",""end_time"":""2020-11"",""company"":""万通金融集团"",""position"":""财务副总监"",""responsibilities"":""分管集团合并报表、资金管理和财务分析工作，参与重大投融资决策，管理30人团队""},{""start_time"":""2020-12"",""end_time"":""至今"",""company"":""环球投资控股有限公司"",""position"":""财务总监"",""responsibilities"":""全面负责集团财务战略制定与执行，领导80人财务团队，直接向CEO汇报，参与董事会决策""}]",高尔夫、阅读、古典音乐,20年财务领域深耕经验，精通企业全面财务管理，擅长战略规划与团队建设，具备国际化视野和卓越的领导力,2025-07-03 12:34:12
黄俊,男,32,共青团员,65.0,江苏省南京市,良好,170.0,本科,华中科技大学,人工智能,人工智能工程师,15129381229,huangjun846@gmail.com,"[{""start_time"":""2010-09"",""end_time"":""2014-06"",""school"":""华中科技大学"",""degree"":""本科"",""major"":""人工智能""}]",全国大学生人工智能竞赛一等奖,人工智能工程师认证、Python高级编程证书,"[{""start_time"":""2014-07"",""end_time"":""2017-08"",""company"":""腾讯科技"",""position"":""人工智能开发工程师"",""responsibilities"":""负责机器学习算法的研发与优化，参与智能推荐系统的设计与实现，提升系统准确率和用户体验。""},{""start_time"":""2017-09"",""end_time"":""至今"",""company"":""宝马中国"",""position"":""高级人工智能工程师"",""responsibilities"":""领导自动驾驶算法团队，负责计算机视觉和深度学习模型的开发，优化车辆感知系统性能，推动智能驾驶技术的落地应用。""}]",运动、阅读、音乐,具备扎实的人工智能理论基础和丰富的实战经验，擅长机器学习算法和深度学习模型开发，具有良好的团队协作能力和创新精神。,2025-07-03 12:34:36
